,Estrato,Genero,Edad,Grado,Zona,Deporte,Trabaja,Invitacion_drogas,Consecuencias_consumo,Padres_alcohol,Reaccion_padres,Cigarrillo,Consume_droga,A_que_edad,Atencion_padres,Conocimiento_amistades_padres,Continua,Grados_perdidos,Recreo,Acoso_escolar,Acoso_sexual,Relacion_familiar,Limitaciones,Sexualidad,Habitacion_compartida,Perdida_familiar,Rupturas_amorosas,Situacion_sentimental,Otro_colegio,Familiares_consumidores,Colegio,MadreyPadre,Otros_familiares,Solo Madre,Solo Padre,Casados,Separados,Soltero_soltera,Unión_libre,Viudo_viuda,Agresivo,Alegre,Extrovertido,Malhumorado,Timido,Impulsivo,Calle,Casa,Colegio,Con_pareja_sentimental,Fiestas,No_consumido,Parque,Paseo
37,4,1,15,9,1,1,0,1,1,2,4,0,0,0.0,2,3,0,0,40000,0,0,2,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
38,2,1,17,11,1,1,0,1,1,1,4,0,1,16.0,3,3,0,0,20000,0,0,4,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
39,3,0,15,10,1,1,0,1,1,2,4,0,0,0.0,3,2,0,0,50000,1,1,4,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40,3,1,16,11,1,1,0,1,1,2,4,0,0,0.0,2,1,0,0,350000,0,0,3,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41,4,0,16,11,1,1,0,1,1,2,4,0,1,15.0,3,1,0,0,85000,0,0,2,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,4,0,16,11,0,1,0,0,1,2,4,0,0,0.0,3,3,0,0,60000,1,1,3,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43,3,1,16,11,1,1,0,1,1,1,4,1,1,13.0,2,3,0,0,60000,0,0,3,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
44,4,1,16,11,1,1,0,1,1,2,3,0,0,0.0,2,3,0,0,100000,0,0,3,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
45,4,0,16,11,1,0,1,1,0,2,3,1,0,0.0,2,2,0,0,25000,0,0,2,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
46,3,1,15,9,1,1,0,0,0,2,4,1,0,0.0,3,2,0,1,10000,1,0,3,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
47,3,0,16,11,1,1,0,1,1,2,4,1,1,12.0,3,2,1,0,20000,0,1,3,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
48,4,1,15,11,1,1,0,0,1,2,4,1,0,0.0,2,3,0,0,60000,0,0,3,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
49,4,0,17,11,1,1,0,1,1,2,3,0,0,0.0,3,2,0,0,40000,0,1,4,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
50,4,0,17,11,1,1,0,0,1,2,4,0,0,0.0,2,2,0,1,40000,0,0,4,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
51,3,1,13,8,1,1,0,1,1,2,4,0,0,0.0,2,1,0,0,50000,0,0,4,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
52,2,1,17,11,1,1,0,0,1,2,3,0,0,0.0,3,3,0,0,100000,0,0,4,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
53,3,0,17,11,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,50000,0,0,4,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
54,4,1,12,7,1,1,0,0,1,1,4,0,0,0.0,3,3,0,0,25000,0,0,4,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
55,4,1,12,7,1,1,0,0,1,1,4,0,0,0.0,3,3,0,0,50000,0,0,4,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
56,2,0,11,6,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,60000,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
57,3,1,16,11,1,0,0,0,1,1,4,0,0,0.0,3,2,0,0,2000,0,0,3,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
58,2,0,13,7,1,1,0,0,0,2,4,0,0,0.0,3,1,0,0,30000,0,0,3,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
59,4,0,16,11,1,0,0,1,1,2,3,1,1,0.0,3,2,0,0,15000,0,0,3,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
60,4,1,13,8,1,1,0,0,1,1,4,0,0,0.0,3,2,0,0,42000,0,0,4,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
61,3,0,17,11,1,0,0,0,0,2,4,0,0,0.0,3,2,0,0,20000,0,0,4,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
62,4,1,15,10,1,1,0,1,1,1,4,0,0,0.0,3,3,0,0,10000,1,0,3,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
63,3,1,16,11,0,1,0,1,1,2,4,1,1,15.0,2,1,0,0,75000,1,1,3,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
64,4,1,16,11,1,0,0,0,1,2,3,1,0,0.0,3,1,0,0,70000,1,0,3,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
65,4,1,15,10,1,1,0,1,0,1,3,0,0,0.0,3,2,0,0,80000,0,0,3,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
66,4,0,16,11,1,1,0,0,1,1,4,1,1,15.0,3,2,0,0,120000,1,0,4,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
67,3,1,11,6,1,1,0,0,1,2,4,0,0,0.0,3,3,0,0,100000,1,0,4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
